E ; deltaE ; I ; deltaI ; I ENDF ; deltaI ENDF
186999.9 eV ; 40.00200 eV ; 0.003424531 % ; 3.110623E-4 % ; 0.00003424531 ; 0.000003110623
187646.7 eV ; 40.00000 eV ; 5.835888E-4 % ; 5.179844E-5 % ; 0.000005835888 ; 5.179844E-7
191809.0 eV ; 80.00156 eV ; 0.06138063 % ; 0.00791331 % ; 0.0006138063 ; 0.00007913310
192599.0 eV ; 80.00156 eV ; 0.1293783 % ; 0.01606694 % ; 0.001293783 ; 0.0001606694
192826.3 eV ; 1000.000 eV ; 1.15656E-4 % ; 3.038361E-5 % ; 0.000001156560 ; 3.038361E-7
195309.9 eV ; 1000.000 eV ; 2.79976E-5 % ; 7.351287E-6 % ; 2.799760E-7 ; 7.351287E-8
195541.5 eV ; 150.0003 eV ; 0.01339208 % ; 0.001363376 % ; 0.0001339208 ; 0.00001363376
195956.7 eV ; 1000.000 eV ; 4.3608E-6 % ; 1.146388E-6 % ; 4.360800E-8 ; 1.146388E-8
200581.5 eV ; 1000.000 eV ; 8.33371E-4 % ; 2.365086E-4 % ; 0.000008333710 ; 0.000002365086
205786.3 eV ; 150.0016 eV ; 0.003141988 % ; 3.434812E-4 % ; 0.00003141988 ; 0.000003434812
206231.5 eV ; 50.00090 eV ; 0.07511478 % ; 0.006462639 % ; 0.0007511478 ; 0.00006462639
208269.9 eV ; 150.0005 eV ; 7.7262E-4 % ; 8.474938E-5 % ; 0.000007726200 ; 8.474938E-7
208321.5 eV ; 80.00056 eV ; 0.01057968 % ; 0.001158388 % ; 0.0001057968 ; 0.00001158388
208916.7 eV ; 150.0000 eV ; 1.326331E-4 % ; 1.313302E-5 % ; 0.000001326331 ; 1.313302E-7
210251.5 eV ; 80.00056 eV ; 0.009112966 % ; 0.001064449 % ; 0.00009112966 ; 0.00001064449
210826.3 eV ; 1000.000 eV ; 1.93787E-4 % ; 5.503387E-5 % ; 0.000001937870 ; 5.503387E-7
213309.9 eV ; 1000.000 eV ; 4.76212E-5 % ; 1.351565E-5 % ; 4.762120E-7 ; 1.351565E-7
213956.7 eV ; 1000.000 eV ; 8.31633E-6 % ; 2.360177E-6 % ; 8.316330E-8 ; 2.360177E-8
216476.3 eV ; 50.00490 eV ; 0.01900898 % ; 0.001646534 % ; 0.0001900898 ; 0.00001646534
218566.3 eV ; 80.00306 eV ; 0.002436755 % ; 2.668144E-4 % ; 0.00002436755 ; 0.000002668144
218959.9 eV ; 50.00160 eV ; 0.0046057 % ; 3.963009E-4 % ; 0.00004605700 ; 0.000003963009
219606.7 eV ; 50.00000 eV ; 7.218388E-4 % ; 6.203657E-5 % ; 0.000007218388 ; 6.203657E-7
220496.3 eV ; 80.00306 eV ; 0.002121308 % ; 2.497116E-4 % ; 0.00002121308 ; 0.000002497116
221049.9 eV ; 80.00100 eV ; 5.987805E-4 % ; 6.550281E-5 % ; 0.000005987805 ; 6.550281E-7
221696.7 eV ; 80.00000 eV ; 1.061642E-4 % ; 1.162335E-5 % ; 0.000001061642 ; 1.162335E-7
222979.9 eV ; 80.00100 eV ; 5.216686E-4 % ; 6.125816E-5 % ; 0.000005216686 ; 6.125816E-7
223626.7 eV ; 80.00000 eV ; 9.09132E-5 % ; 1.064823E-5 % ; 9.091320E-7 ; 1.064823E-7
231581.5 eV ; 1000.000 eV ; 1.9592E-4 % ; 5.357326E-5 % ; 0.000001959200 ; 5.357326E-7
241826.3 eV ; 1000.000 eV ; 4.6768E-5 % ; 1.228484E-5 % ; 4.676800E-7 ; 1.228484E-7
244309.9 eV ; 1000.000 eV ; 1.14076E-5 % ; 3.004626E-6 % ; 1.140760E-7 ; 3.004626E-8
244956.7 eV ; 1000.000 eV ; 1.9276E-6 % ; 5.381531E-7 % ; 1.927600E-8 ; 5.381531E-9
254501.5 eV ; 80.00056 eV ; 0.03111178 % ; 0.004010262 % ; 0.0003111178 ; 0.00004010262
255291.5 eV ; 80.00056 eV ; 0.06525874 % ; 0.008103166 % ; 0.0006525874 ; 0.00008103166
264746.3 eV ; 80.00306 eV ; 0.007785608 % ; 0.00100354 % ; 0.00007785608 ; 0.00001003540
265536.3 eV ; 80.00306 eV ; 0.0163391 % ; 0.002028779 % ; 0.0001633910 ; 0.00002028779
267089.0 eV ; 200.0006 eV ; 5.42256E-4 % ; 1.745527E-4 % ; 0.000005422560 ; 0.000001745527
267229.9 eV ; 80.00100 eV ; 0.001892761 % ; 2.442959E-4 % ; 0.00001892761 ; 0.000002442959
267876.7 eV ; 80.00000 eV ; 2.996233E-4 % ; 3.864084E-5 % ; 0.000002996233 ; 3.864084E-7
268019.9 eV ; 80.00100 eV ; 0.003970856 % ; 4.937773E-4 % ; 0.00003970856 ; 0.000004937773
268666.7 eV ; 80.00000 eV ; 6.298038E-4 % ; 7.824444E-5 % ; 0.000006298038 ; 7.824444E-7
275059.0 eV ; 30.00417 eV ; 0.4805791 % ; 0.03969135 % ; 0.004805791 ; 0.0003969135
283769.0 eV ; 30.00417 eV ; 0.8195199 % ; 0.06580471 % ; 0.008195199 ; 0.0006580471
320589.0 eV ; 200.0006 eV ; 7.189E-4 % ; 4.697523E-4 % ; 0.000007189000 ; 0.000004697523
329781.5 eV ; 200.0002 eV ; 2.033776E-4 % ; 6.547018E-5 % ; 0.000002033776 ; 6.547018E-7
333329.0 eV ; 20.00625 eV ; 0.77736 % ; 0.07154555 % ; 0.007773600 ; 0.0007154555
334889.0 eV ; 1000.000 eV ; 5.688E-4 % ; 4.072833E-4 % ; 0.000005688000 ; 0.000004072833
337751.5 eV ; 30.00150 eV ; 0.07942344 % ; 0.006573015 % ; 0.0007942344 ; 0.00006573015
